id;required_age;release_date;pegi_rating;metacritic_score;image_url;thumbnail_url;price;description;notes;steam_appid
1;30818;2023-07-05;AGP PCI feed;21583;leverage Product;Electronic;8;blockchains;yellow Auto skim;21657
2;17919;2023-07-05;West Hatchback bluetooth;13849;Investment instead;Won models;36298;Chips Bellevue;Rustic Hatchback;89855
3;97659;2023-07-05;Touring Handmade;3083;Electric;Dollar;68860;Ford East Program;matrix Account content;14918
4;73108;2023-07-05;Buckinghamshire interesting turquoise;53756;to Loan Decentralized;withdrawal Market atop;69562;jagged female tertiary;wry;448
5;37328;2023-07-05;Synergistic;50544;muted Norway curiously;West alongside female;82857;deposit quantifying;man;46484
6;30720;2023-07-05;male Bedfordshire Bedfordshire;87257;withdrawal salmon;Dirham;62604;AGP Northeast;Tuscaloosa needily;81111
7;67828;2023-07-05;feed;84757;Dinar proactive Row;convergence Group;37414;Functionality;Southwest input;69637
8;37167;2023-07-05;Cotton;26868;Bacon;Elegant;79752;Borders Copper Music;temporibus where of;81157
9;9571;2023-07-05;East Representative contingency;35947;Southwest;Northeast Bronze;65505;quantifying Gasoline;Sedan Texas protocol;62258
10;81376;2023-07-05;Northeast Ortiz;6754;integrate Woman;Peoria;54402;Principal South generating;Branding Yen;16628
